iter	MultiClass
0	2.875871279
1	2.862184372
2	2.850045439
3	2.838787569
4	2.828542295
5	2.818961216
6	2.809841322
7	2.801485359
8	2.793926484
9	2.786776072
10	2.779794426
11	2.77343322
12	2.767694084
13	2.761978591
14	2.75672972
15	2.751500959
16	2.746601034
17	2.741697575
18	2.737241443
19	2.733011418
20	2.728531642
21	2.72458371
22	2.720851016
23	2.716969938
24	2.713176641
25	2.709939103
26	2.70703339
27	2.704220078
28	2.701558682
29	2.699025559
30	2.69640221
31	2.693737825
32	2.691364228
33	2.68888111
34	2.686330595
35	2.683842857
36	2.681549703
37	2.67907202
38	2.676619611
39	2.674421303
40	2.672154239
41	2.670064365
42	2.667815508
43	2.665627256
44	2.663727617
45	2.661739384
46	2.659590537
47	2.657962392
48	2.655636083
49	2.653662252
50	2.651623471
51	2.649885261
52	2.647860339
53	2.645887052
54	2.644129819
55	2.642072013
56	2.640355001
57	2.638097448
58	2.636072798
59	2.634237025
60	2.632447723
61	2.630894586
62	2.629246058
63	2.627108082
64	2.625495428
65	2.623587365
66	2.62158201
67	2.619787817
68	2.617892255
69	2.616182852
70	2.614392735
71	2.61298309
72	2.611368261
73	2.609519987
74	2.608171488
75	2.606698521
76	2.605276102
77	2.603597138
78	2.60215026
79	2.600493036
80	2.599025233
81	2.597444375
82	2.595694208
83	2.593876371
84	2.592444712
85	2.590962777
86	2.589652054
87	2.588363615
88	2.58666916
89	2.585135861
90	2.583824051
91	2.582405165
92	2.580467751
93	2.579092348
94	2.577503066
95	2.575947754
96	2.574281562
97	2.572647982
98	2.570917381
99	2.569672697
100	2.568151628
101	2.566533266
102	2.565313313
103	2.563623477
104	2.561912716
105	2.560535682
106	2.559080923
107	2.557537297
108	2.556042589
109	2.55481258
110	2.55353773
111	2.55210743
112	2.550839917
113	2.549594689
114	2.548070631
115	2.546719143
116	2.545342109
117	2.54407215
118	2.542938075
119	2.541209105
120	2.540119055
121	2.538373507
122	2.536960872
123	2.535566174
124	2.533930419
125	2.532423482
126	2.531319028
127	2.529772957
128	2.528174706
129	2.526803379
130	2.525633158
131	2.524262919
132	2.522994591
133	2.52173197
134	2.520525605
135	2.519078999
136	2.517357367
137	2.516169753
138	2.515076986
139	2.513646414
140	2.512447115
141	2.511016543
142	2.509681361
143	2.508325525
144	2.507011268
145	2.505688859
146	2.504330306
147	2.503011973
148	2.501881702
149	2.500487818
150	2.499235796
151	2.497816095
152	2.496489338
153	2.49520552
154	2.49379995
155	2.4923172
156	2.490799392
157	2.489452252
158	2.488021952
159	2.486589206
160	2.485447793
161	2.484364265
162	2.483175836
163	2.481604762
164	2.48043128
165	2.479315413
166	2.478283249
167	2.477007312
168	2.475473197
169	2.474339122
170	2.47321184
171	2.471989984
172	2.470825742
173	2.469591385
174	2.468481496
175	2.467146858
176	2.466020663
177	2.464609658
178	2.463213873
179	2.461919455
180	2.460806034
181	2.459677121
182	2.458232961
183	2.456890713
184	2.455752289
185	2.454549729
186	2.453310208
187	2.452151673
188	2.450962701
189	2.449688394
190	2.448589104
191	2.447616457
192	2.446668268
193	2.445506744
194	2.444273746
195	2.442920084
196	2.441720241
197	2.440551379
198	2.439356428
199	2.438137289
200	2.43704425
201	2.435719123
202	2.434575535
203	2.433347701
204	2.43223129
205	2.430990953
206	2.429848453
207	2.428639098
208	2.427519698
209	2.426464434
210	2.425417323
211	2.424530825
212	2.42357394
213	2.422420025
214	2.421137022
215	2.420113554
216	2.419029483
217	2.417542656
218	2.41637624
219	2.415231022
220	2.414038788
221	2.412935422
222	2.41168177
223	2.410710481
224	2.40923534
225	2.408032507
226	2.406651125
227	2.405580371
228	2.404426728
229	2.403435057
230	2.402350714
231	2.401418831
232	2.400427704
233	2.399470819
234	2.398467462
235	2.397402143
236	2.396599892
237	2.395437281
238	2.394322229
239	2.393088687
240	2.392166588
241	2.391071102
242	2.389894903
243	2.388853227
244	2.387969175
245	2.386688346
246	2.385772498
247	2.38468435
248	2.383749478
249	2.382483596
250	2.381649821
251	2.380785608
252	2.379599625
253	2.378488105
254	2.377528774
255	2.376128912
256	2.375226109
257	2.374265962
258	2.373237331
259	2.372237508
260	2.371084952
261	2.369941636
262	2.368924691
263	2.367840076
264	2.366927217
265	2.36603311
266	2.365203411
267	2.363942964
268	2.362923301
269	2.361810151
270	2.360741299
271	2.359789034
272	2.359071302
273	2.357959783
274	2.356865385
275	2.35579001
276	2.354861661
277	2.353846346
278	2.352901147
279	2.352011388
280	2.351150164
281	2.350219369
282	2.349440218
283	2.34847056
284	2.347439212
285	2.346230129
286	2.34528656
287	2.344329947
288	2.343400782
289	2.342687398
290	2.341949556
291	2.340842113
292	2.339784947
293	2.339029712
294	2.337979611
295	2.337174643
296	2.336323746
297	2.335338598
298	2.334332795
299	2.33335906
300	2.332278522
301	2.331301527
302	2.330516669
303	2.329388844
304	2.328271617
305	2.327460942
306	2.326304581
307	2.325079192
308	2.324091326
309	2.323365441
310	2.322430298
311	2.321591359
312	2.320795087
313	2.319997456
314	2.318862022
315	2.317921171
316	2.31684797
317	2.315777216
318	2.314816798
319	2.313953943
320	2.312828292
321	2.311770039
322	2.310678358
323	2.309746748
324	2.308844759
325	2.308270791
326	2.307238355
327	2.306166514
328	2.305179191
329	2.304107349
330	2.303353473
331	2.302226735
332	2.300996998
333	2.299997445
334	2.29882342
335	2.298013288
336	2.297249628
337	2.296395199
338	2.295501091
339	2.294673023
340	2.293646566
341	2.292606521
342	2.291672736
343	2.290673999
344	2.289791578
345	2.289124395
346	2.288213981
347	2.287412546
348	2.286470065
349	2.285459098
350	2.284492158
351	2.283582832
352	2.282549309
353	2.281813097
354	2.280612167
355	2.279788991
356	2.278824904
