iter	Passed	Remaining
0	95	190171
1	192	192733
2	282	187928
3	375	187404
4	466	186272
5	557	185414
6	649	184803
7	745	185721
8	839	185691
9	932	185575
10	1031	186441
11	1125	186382
12	1214	185692
13	1305	185231
14	1397	184934
15	1494	185257
16	1584	184866
17	1680	185084
18	1774	185032
19	1868	184936
20	1963	185046
21	2057	184958
22	2153	185088
23	2248	185109
24	2342	185031
25	2435	184894
26	2527	184675
27	2616	184282
28	2705	183851
29	2793	183409
30	2881	183045
31	2975	182992
32	3066	182764
33	3156	182511
34	3248	182378
35	3345	182502
36	3438	182441
37	3531	182325
38	3626	182360
39	3719	182241
40	3814	182267
41	3908	182218
42	4004	182230
43	4097	182146
44	4183	181745
45	4271	181445
46	4367	181487
47	4454	181133
48	4552	181245
49	4647	181265
50	4743	181285
51	4829	180917
52	4923	180865
53	5019	180887
54	5114	180883
55	5205	180700
56	5290	180349
57	5388	180412
58	5480	180304
59	5574	180247
60	5662	179994
61	5748	179684
62	5839	179550
63	5936	179592
64	6030	179510
65	6123	179427
66	6218	179409
67	6315	179431
68	6413	179490
69	6509	179480
70	6608	179546
71	6701	179441
72	6795	179377
73	6891	179357
74	6976	179059
75	7072	179036
76	7160	178821
77	7255	178794
78	7346	178640
79	7441	178588
80	7533	178469
81	7626	178385
82	7724	178410
83	7822	178420
84	7915	178321
85	8005	178171
86	8089	177882
87	8176	177662
88	8268	177547
89	8356	177342
90	8440	177073
91	8531	176927
92	8632	177017
93	8720	176828
94	8812	176714
95	8906	176645
96	9000	176580
97	9094	176512
98	9190	176474
99	9276	176253
100	9364	176074
101	9459	176019
102	9539	175691
103	9633	175628
104	9727	175562
105	9815	175389
106	9908	175294
107	10008	175331
108	10102	175267
109	10194	175156
110	10283	175010
111	10377	174927
112	10461	174697
113	10548	174507
114	10636	174350
115	10727	174236
116	10816	174088
117	10901	173874
118	10992	173747
119	11090	173750
120	11163	173363
121	11260	173339
122	11353	173256
123	11448	173208
124	11542	173133
125	11637	173088
126	11723	172897
127	11818	172841
128	11917	172847
129	12008	172737
130	12095	172571
131	12186	172461
132	12276	172330
133	12361	172141
134	12453	172039
135	12548	171991
136	12642	171924
137	12729	171750
138	12820	171651
139	12917	171616
140	13011	171544
141	13105	171484
142	13194	171344
143	13289	171281
144	13381	171189
145	13476	171133
146	13570	171056
147	13665	171000
148	13758	170913
149	13854	170868
150	13950	170824
151	14043	170739
152	14130	170577
153	14224	170513
154	14319	170448
155	14418	170430
156	14516	170411
157	14608	170304
158	14703	170241
159	14796	170160
160	14888	170058
161	14978	169943
162	15071	169858
163	15170	169831
164	15261	169722
165	15355	169648
166	15447	169552
167	15540	169461
168	15637	169424
169	15730	169336
170	15819	169200
171	15916	169162
172	16015	169139
173	16109	169057
174	16204	168987
175	16297	168905
176	16387	168780
177	16484	168730
178	16581	168685
179	16678	168635
180	16765	168491
181	16856	168382
182	16953	168334
183	17047	168250
184	17138	168146
185	17231	168053
186	17327	167993
187	17420	167905
188	17515	167837
189	17608	167747
190	17699	167632
191	17784	167473
192	17861	167233
193	17955	167151
194	18051	167092
195	18144	167000
196	18235	166897
197	18326	166789
198	18420	166710
199	18515	166640
200	18608	166550
201	18705	166501
202	18793	166363
203	18890	166312
204	18982	166213
205	19077	166140
206	19172	166066
207	19267	165998
208	19364	165941
209	19456	165839
210	19542	165691
211	19627	165535
212	19711	165370
213	19807	165305
214	19903	165246
215	19991	165118
216	20083	165017
217	20181	164970
218	20274	164883
219	20366	164786
220	20461	164710
221	20554	164621
222	20652	164574
223	20739	164435
224	20839	164402
225	20936	164339
226	21035	164303
227	21128	164209
228	21225	164152
229	21315	164035
230	21407	163937
231	21498	163836
232	21582	163673
233	21675	163585
234	21767	163489
235	21863	163420
236	21941	163218
237	22034	163130
238	22126	163033
239	22224	162980
240	22316	162884
241	22412	162813
242	22506	162734
243	22590	162577
244	22680	162468
245	22777	162405
246	22866	162288
247	22958	162192
248	23043	162046
249	23140	161980
250	23215	161767
251	23307	161670
252	23402	161595
253	23498	161526
254	23590	161432
255	23687	161368
256	23778	161266
257	23867	161149
258	23960	161060
259	24049	160945
260	24134	160804
261	24227	160714
262	24322	160642
263	24418	160567
264	24513	160496
265	24604	160389
266	24693	160278
267	24790	160215
268	24884	160130
269	24979	160054
270	25068	159939
271	25160	159840
272	25239	159662
273	25333	159582
274	25430	159517
275	25523	159432
276	25609	159299
277	25700	159192
278	25790	159089
279	25878	158968
280	25959	158806
281	26049	158701
282	26134	158560
283	26225	158461
284	26320	158383
285	26417	158319
286	26508	158220
287	26598	158113
288	26690	158018
289	26778	157899
290	26859	157744
291	26955	157673
292	27050	157595
293	27127	157411
294	27223	157342
295	27314	157244
296	27405	157145
297	27498	157054
298	27592	156970
