iter	RMSE
0	60.58326045
1	58.7906974
2	57.06177403
3	55.37741578
4	53.74831034
5	52.17320538
6	50.6345121
7	49.14912411
8	47.71172441
9	46.32141078
10	44.96543781
11	43.65043938
12	42.37709598
13	41.13831511
14	39.94203641
15	38.78382868
16	37.65259742
17	36.55888003
18	35.50346405
19	34.48560087
20	33.49339182
21	32.53096558
22	31.59062686
23	30.68385616
24	29.80274236
25	28.94558704
26	28.12071417
27	27.31444259
28	26.54259486
29	25.78960698
30	25.06202953
31	24.35658095
32	23.67266973
33	23.00192618
34	22.35485671
35	21.72478269
36	21.11925754
37	20.53488582
38	19.9603971
39	19.40286051
40	18.8679652
41	18.34870235
42	17.84511422
43	17.35656256
44	16.88243911
45	16.42750422
46	15.98987565
47	15.55756063
48	15.14363638
49	14.74836987
50	14.36179465
51	13.98686043
52	13.62123986
53	13.26796673
54	12.92584928
55	12.59353664
56	12.27196828
57	11.96317449
58	11.66305793
59	11.37078621
60	11.09045633
61	10.81955665
62	10.55485103
63	10.30168938
64	10.05488404
65	9.817504455
66	9.58971404
67	9.369541637
68	9.155273481
69	8.945927819
70	8.744603484
71	8.549714531
72	8.361944241
73	8.181108028
74	8.006448675
75	7.836220525
76	7.674766067
77	7.518207714
78	7.367446946
79	7.222082086
80	7.082861342
81	6.948321167
82	6.818014497
83	6.69147982
84	6.570972375
85	6.455630889
86	6.345388986
87	6.238611761
88	6.136920376
89	6.038507606
90	5.943915043
91	5.853428566
92	5.765013331
93	5.680234822
94	5.598867349
95	5.519022122
96	5.443250702
97	5.371283204
98	5.300578997
99	5.232942625
100	5.167456347
101	5.105772513
102	5.045628806
103	4.989662411
104	4.934157414
105	4.880956864
106	4.832593441
107	4.784403061
108	4.738316555
109	4.693846313
110	4.649857245
111	4.60945215
112	4.570960722
113	4.5339048
114	4.499069825
115	4.465610881
116	4.432577499
117	4.401904216
118	4.372827315
119	4.343307201
120	4.3169558
121	4.289875187
122	4.265552777
123	4.241971532
124	4.217840663
125	4.19465505
126	4.17295566
127	4.151885147
128	4.132060478
129	4.113382184
130	4.094801279
131	4.078036357
132	4.060800759
133	4.045241205
134	4.029464276
135	4.015100679
136	4.001601106
137	3.987148822
138	3.974254587
139	3.962240179
140	3.948999463
141	3.937558702
142	3.925354517
143	3.914487701
144	3.903659024
145	3.893750891
146	3.884524952
147	3.874735304
148	3.866081279
149	3.857182288
150	3.849105141
151	3.842047329
152	3.833920538
153	3.826570939
154	3.819235904
155	3.812545937
156	3.805629076
157	3.79848528
158	3.791805796
159	3.785310989
160	3.779529073
161	3.774216851
162	3.768911009
163	3.763264157
164	3.758410067
165	3.752524694
166	3.747710703
167	3.742826841
168	3.739051428
169	3.734582142
170	3.730536645
171	3.725977105
172	3.722036573
173	3.717967203
174	3.713940734
175	3.71014838
176	3.706924833
177	3.70340064
178	3.699942672
179	3.696877901
180	3.693845437
181	3.690587984
182	3.687353815
183	3.684251556
184	3.680911646
185	3.67794522
186	3.675120597
187	3.672234191
188	3.669971046
189	3.667713295
190	3.664585928
191	3.661971114
192	3.659420723
193	3.656964061
194	3.654307295
195	3.65206351
196	3.649396787
197	3.647168862
198	3.645462076
199	3.643160664
200	3.640744224
201	3.638759989
202	3.636962355
203	3.635098098
204	3.633511043
205	3.631906745
206	3.629843271
207	3.628126814
