iter	Passed	Remaining
0	423	87763
1	705	72651
2	965	65945
3	1216	62028
4	1447	58784
5	1761	59289
6	2010	57720
7	2231	55775
8	2455	54290
9	2693	53334
10	2902	51977
11	3128	51106
12	3358	50376
13	3561	49353
14	3745	48187
15	3943	47320
16	4137	46489
17	4344	45858
18	4692	46674
19	4958	46609
20	5234	46610
21	5508	46567
22	5755	46290
23	5968	45762
24	6173	45192
25	6395	44766
26	6615	44349
27	6832	43925
28	7105	43857
29	7350	43613
30	7621	43519
31	7940	43670
32	8201	43495
33	8520	43604
34	8745	43226
35	8964	42830
36	9210	42567
37	9407	42088
38	9701	42041
39	9909	41618
40	10163	41395
41	10357	40936
42	10573	40572
43	10765	40125
44	10956	39686
45	11181	39378
46	11375	38966
47	11560	38534
48	11746	38116
49	11953	37774
50	12134	37354
51	12328	36985
52	12519	36613
53	12723	36285
54	12914	35925
55	13129	35636
56	13322	35292
57	13535	35006
58	13724	34660
59	13921	34339
60	14119	34026
61	14328	33740
62	14523	33426
63	14726	33135
64	14949	32889
65	15154	32604
66	15357	32318
67	15560	32036
68	15786	31801
69	15966	31477
70	16195	31250
71	16384	30948
72	16584	30669
73	16756	30341
74	16943	30045
75	17151	29789
76	17351	29519
77	17568	29280
78	17813	29088
79	18020	28832
80	18255	28622
81	18484	28403
82	18703	28167
83	18928	27942
84	19128	27679
85	19377	27489
86	19588	27243
87	19800	27000
88	20020	26769
89	20237	26533
90	20467	26314
91	20686	26083
92	20896	25839
93	21100	25590
94	21317	25356
95	21515	25101
96	21737	24874
97	21946	24633
98	22137	24373
99	22305	24089
100	22479	23815
101	22631	23519
102	22816	23259
103	22991	22991
104	23192	22751
105	23379	22497
106	23568	22246
107	23756	21996
108	23936	21740
109	24113	21482
110	24283	21220
111	24485	20987
112	24664	20736
113	24878	20513
114	25076	20279
115	25289	20057
116	25521	19850
117	25718	19615
118	25915	19382
119	26090	19133
120	26311	18918
121	26518	18693
122	26723	18467
123	26922	18238
124	27110	18001
125	27283	17755
126	27477	17524
127	27697	17310
128	27917	17096
129	28117	16870
130	28321	16647
131	28511	16415
132	28712	16191
133	28906	15963
134	29106	15738
135	29298	15510
136	29508	15292
137	29703	15067
138	29922	14853
139	30135	14637
140	30351	14422
141	30541	14195
142	30766	13984
143	30943	13752
144	31149	13533
145	31334	13306
146	31499	13071
147	31699	12851
148	31900	12631
149	32098	12411
150	32276	12183
151	32458	11958
152	32643	11734
153	32808	11504
154	33008	11286
155	33198	11066
156	33393	10847
157	33576	10625
158	33745	10399
159	33967	10190
160	34159	9972
161	34354	9755
162	34554	9539
163	34723	9316
164	34899	9095
165	35114	8884
166	35312	8669
167	35503	8453
168	35703	8239
169	35901	8024
170	36094	7809
171	36308	7599
172	36500	7384
173	36677	7166
174	36866	6952
175	37046	6735
176	37260	6525
177	37459	6313
178	37653	6100
179	37863	5889
180	38077	5680
181	38286	5469
182	38462	5254
183	38664	5043
184	38848	4829
185	39046	4618
186	39239	4406
187	39445	4196
188	39658	3986
189	39842	3774
190	40024	3562
191	40226	3352
192	40403	3140
193	40596	2929
194	40754	2716
195	40905	2504
196	41062	2292
197	41203	2081
198	41314	1868
199	41429	1657
200	41534	1446
201	41640	1236
202	41737	1028
203	41813	819
204	41886	612
205	41957	407
206	42028	203
207	42096	0
