iter	RMSE
0	14.2003754
1	13.99222672
2	13.80597714
3	13.63015505
4	13.49700134
5	13.32336662
6	13.16608204
7	13.00628007
8	12.86834699
9	12.751568
10	12.65371376
11	12.53083909
12	12.40929866
13	12.30509079
14	12.1988401
15	12.1069422
16	12.05627466
17	11.97201132
18	11.88123409
19	11.80070392
20	11.72714184
21	11.65958692
22	11.58613603
23	11.52351252
24	11.46290462
25	11.40890377
26	11.35884792
27	11.29785674
28	11.24238696
29	11.19137411
30	11.15431021
31	11.11722351
32	11.09053727
33	11.05070823
34	11.01479536
35	10.98036191
36	10.94084265
37	10.90566661
38	10.87202699
39	10.84989383
40	10.82489741
41	10.8105952
42	10.78206935
43	10.76673684
44	10.74610816
45	10.73060679
46	10.70111002
47	10.67581924
48	10.65957976
49	10.63924419
50	10.62136046
51	10.5998274
52	10.57721643
53	10.56445852
54	10.54658512
55	10.53427907
56	10.51566381
57	10.50495712
58	10.48822579
59	10.47568488
60	10.4589061
61	10.45180411
62	10.44051267
63	10.42979747
64	10.41727124
65	10.40664231
66	10.39671102
67	10.38266668
68	10.37091513
69	10.36519536
70	10.35482563
71	10.34793677
72	10.340671
73	10.33009244
74	10.31606567
75	10.30049135
76	10.28875192
77	10.27980872
78	10.26904695
79	10.2615894
80	10.25274398
81	10.24460822
82	10.23762898
83	10.2324313
84	10.228998
85	10.22046669
86	10.21602645
87	10.21316474
88	10.20786851
89	10.20290428
90	10.19710262
91	10.19240167
92	10.1859708
93	10.18350419
94	10.18270169
95	10.17967841
96	10.16756029
97	10.16162022
98	10.15725986
99	10.15517847
100	10.14780878
101	10.14610233
102	10.14272221
103	10.1411292
104	10.13683179
105	10.13609232
106	10.13437826
107	10.1314387
108	10.1228378
109	10.12033113
110	10.11513977
111	10.10934023
112	10.10672514
113	10.10476847
114	10.10061128
115	10.09515496
116	10.08991492
117	10.08896267
118	10.08633229
119	10.08477615
120	10.08016109
121	10.07625073
122	10.07286531
123	10.07024143
124	10.06865068
125	10.06544158
126	10.05999869
127	10.05644096
128	10.05384525
129	10.04573086
130	10.04265038
131	10.04229306
132	10.0388551
133	10.03523398
134	10.03261126
135	10.02966466
136	10.02662756
137	10.02500843
138	10.02182315
139	10.02044783
140	10.01560249
141	10.01185979
142	10.00574629
143	10.00188588
144	9.993056707
145	9.988436004
146	9.983882195
147	9.979216282
148	9.977066554
149	9.973262359
150	9.970913153
151	9.969262262
152	9.959792378
153	9.959110383
154	9.957488746
155	9.954860733
156	9.953373813
157	9.952430866
158	9.950689666
159	9.948665376
160	9.944872813
161	9.944543879
162	9.937024994
163	9.935596058
164	9.933988605
165	9.930226707
166	9.928755279
167	9.925098587
168	9.91432368
169	9.91236496
170	9.906065438
171	9.90200296
172	9.900917102
173	9.900365889
174	9.899696962
175	9.896474646
176	9.894004825
177	9.888847896
178	9.887048426
179	9.879895786
180	9.878711259
181	9.87816691
182	9.877437298
183	9.874483792
184	9.869419187
185	9.867131446
186	9.865831638
187	9.859655679
188	9.85887421
189	9.857190366
190	9.851643118
191	9.850322844
192	9.8456074
193	9.843192932
194	9.839880827
195	9.837930708
196	9.836423939
197	9.827565503
198	9.825232821
199	9.823788266
200	9.818826757
201	9.816461734
202	9.814047767
203	9.805727409
204	9.804723912
205	9.802606932
206	9.799933275
207	9.798071697
208	9.796736165
209	9.795606471
210	9.794733427
211	9.789370971
212	9.787805382
213	9.781962122
214	9.780275317
215	9.773203611
216	9.767028998
217	9.766316457
218	9.763401629
219	9.759298335
220	9.756365153
221	9.753454343
222	9.751286505
223	9.74694453
224	9.745551116
225	9.743929637
226	9.742230206
227	9.74183928
228	9.740803572
229	9.737966012
230	9.735514161
231	9.729493747
232	9.725006952
233	9.724499843
234	9.723335911
235	9.722180137
236	9.717891114
237	9.714015814
238	9.71266348
239	9.71146467
240	9.710973354
241	9.705642764
242	9.697984445
243	9.688410617
244	9.67592304
245	9.671794784
246	9.671334762
247	9.664409683
248	9.656699305
249	9.652936125
250	9.651078903
251	9.650622122
252	9.649939684
253	9.649068372
254	9.645376578
255	9.640873399
256	9.637436005
257	9.631920423
258	9.629351692
259	9.622507562
260	9.6188829
261	9.61535808
262	9.614402013
263	9.613921379
264	9.612948669
265	9.612535853
266	9.611247679
267	9.61083102
268	9.609590447
269	9.604409305
270	9.599634749
271	9.596024732
272	9.59105482
273	9.590634938
274	9.587201433
275	9.583702045
276	9.576755018
277	9.572173683
278	9.56751202
279	9.564295934
280	9.560613969
281	9.559391717
282	9.558706057
283	9.5581184
284	9.556344004
285	9.551522645
286	9.54834996
287	9.543913126
288	9.54082486
289	9.537799177
290	9.533208346
291	9.529516179
292	9.528511025
293	9.527963477
294	9.522552347
295	9.518752461
296	9.517918723
297	9.512958133
298	9.512177475
299	9.511500273
300	9.506228366
301	9.502066901
302	9.501180654
303	9.497751159
304	9.496868685
305	9.496445006
306	9.493755431
307	9.493348689
308	9.489476182
309	9.485773285
310	9.484601531
311	9.478584875
312	9.47550901
313	9.471581408
314	9.47072766
315	9.468217093
316	9.463619593
317	9.460842621
318	9.455753215
319	9.452021599
320	9.448245042
321	9.443153121
322	9.440969988
323	9.432743847
324	9.432370034
325	9.429789805
326	9.428883445
327	9.426471731
328	9.422764834
329	9.416777377
330	9.415934438
331	9.4104471
332	9.40705811
333	9.403126186
334	9.396876559
335	9.394422086
336	9.393756144
337	9.393414486
338	9.389007668
339	9.385788389
340	9.382939195
341	9.380510864
342	9.373540097
343	9.367997839
344	9.36104341
345	9.356360117
346	9.353743465
347	9.349633023
348	9.34409312
349	9.343761411
350	9.343511986
351	9.338322334
352	9.337917027
353	9.333607439
354	9.333300202
355	9.329078052
356	9.327387302
357	9.325257351
358	9.318761563
359	9.315390724
360	9.315105535
361	9.310593645
362	9.307090869
363	9.306869877
364	9.301617509
365	9.296924495
366	9.296204358
367	9.295963797
368	9.293743886
369	9.290250037
370	9.287748635
371	9.285691735
372	9.281857041
373	9.276871889
374	9.276373687
375	9.272996102
376	9.270987082
377	9.266679624
378	9.263147292
379	9.262819814
380	9.258499065
381	9.256412098
382	9.255750054
383	9.255506389
384	9.251249676
385	9.251051138
386	9.24865086
387	9.248494092
388	9.243986794
389	9.243778427
390	9.242005919
391	9.237285697
392	9.235022862
393	9.230437113
394	9.228383741
395	9.223280243
396	9.222122025
397	9.219615235
398	9.21894704
399	9.218741693
400	9.214373893
401	9.213840095
402	9.210350562
403	9.206735153
404	9.204718816
405	9.200819086
406	9.195058839
407	9.194885691
408	9.19185458
409	9.191658734
410	9.188603013
411	9.188417166
412	9.187909367
413	9.187412083
414	9.186904641
415	9.185670725
416	9.182837293
417	9.178524746
418	9.175133035
419	9.173301011
420	9.167183244
421	9.166957488
422	9.166441465
423	9.166225725
424	9.162149212
425	9.159296605
426	9.157050697
427	9.153064697
428	9.151293598
429	9.148541104
430	9.146824655
431	9.142947892
432	9.14072798
433	9.139028162
434	9.135289896
435	9.128179005
436	9.124275406
437	9.124077584
438	9.120809813
439	9.115538219
440	9.114991839
441	9.113000074
442	9.109137505
443	9.107617871
444	9.106112783
445	9.10180573
446	9.100208871
447	9.09925376
448	9.095386675
449	9.092722146
450	9.090890735
451	9.090610174
452	9.083914901
453	9.081269801
454	9.076268192
455	9.073380341
456	9.071764739
457	9.071230059
458	9.07065405
459	9.067230197
460	9.063562078
461	9.06340906
462	9.060021976
463	9.055818896
464	9.050310204
465	9.049567674
466	9.04632557
467	9.04616439
468	9.043772881
469	9.040633967
470	9.038290069
471	9.036603416
472	9.035151272
473	9.03243404
474	9.031885306
475	9.031535548
476	9.031391741
477	9.028245034
478	9.026892535
