iter	Passed	Remaining
0	13	13664
1	17	8666
2	18	6010
3	18	4674
4	19	3864
5	20	3323
6	20	2942
7	21	2655
8	22	2434
9	22	2254
10	23	2108
11	24	1984
12	24	1881
13	25	1772
14	25	1697
15	26	1631
16	26	1554
17	27	1504
18	28	1457
19	28	1418
20	29	1383
21	30	1351
22	31	1321
23	31	1294
24	32	1270
25	33	1247
26	34	1229
27	34	1209
28	35	1190
29	36	1171
30	36	1154
31	37	1136
32	38	1120
33	38	1105
34	39	1091
35	40	1078
36	40	1065
37	41	1053
38	42	1042
39	43	1032
40	43	1022
41	44	1006
42	44	998
43	45	989
44	46	980
45	46	972
46	47	965
47	48	957
48	49	951
49	49	944
50	50	937
51	51	931
52	51	925
53	52	919
54	53	913
55	53	907
56	54	901
57	55	897
58	55	892
59	56	887
60	57	882
61	57	872
62	58	868
63	59	863
64	59	858
65	60	853
66	60	849
67	61	845
68	62	841
69	63	837
70	63	833
71	64	829
72	65	826
73	65	822
74	66	818
75	67	815
76	67	812
77	68	809
78	69	806
79	69	803
80	70	800
81	71	797
82	71	794
83	72	792
84	73	786
85	73	784
86	74	781
87	74	775
88	75	773
89	76	770
90	76	767
91	77	764
92	78	762
93	78	760
94	79	754
95	79	751
96	80	749
97	81	747
98	81	745
99	82	742
100	83	740
101	83	738
102	84	736
103	85	733
104	85	731
105	86	726
106	86	724
107	87	720
108	87	718
109	88	716
110	89	715
111	90	713
112	90	709
113	91	707
114	91	706
115	92	704
116	93	703
117	94	703
118	94	699
119	95	700
120	96	698
121	96	697
122	97	695
123	98	694
124	98	692
125	99	691
126	100	689
127	101	688
128	101	686
129	102	685
130	102	682
131	103	677
132	103	676
133	104	674
134	105	673
135	105	671
136	106	670
137	106	667
138	107	665
139	108	664
140	108	662
141	109	661
142	110	659
143	110	658
144	111	657
145	112	655
146	112	654
147	113	653
148	114	651
149	114	650
150	115	649
151	115	646
152	116	645
153	117	643
154	117	641
155	118	640
156	119	639
157	119	638
158	120	636
159	121	635
160	121	634
161	122	631
162	122	630
163	123	627
164	123	626
165	124	625
166	125	624
167	125	623
168	126	622
169	127	620
170	127	619
171	128	618
172	129	617
173	129	614
174	129	612
175	130	610
176	131	609
177	131	609
178	132	607
179	133	606
180	133	605
181	134	603
182	134	601
183	135	600
184	136	599
185	136	597
186	137	596
187	137	595
188	138	594
189	139	593
190	139	592
191	140	591
192	141	590
193	141	589
194	142	588
195	143	587
196	143	586
197	144	585
198	145	584
199	145	583
200	146	582
201	147	581
202	147	580
203	148	579
204	149	578
205	149	577
206	150	576
207	151	575
208	151	574
209	152	573
210	153	572
211	153	571
212	154	570
213	155	569
214	155	569
215	156	568
216	157	567
217	157	566
218	158	565
219	159	564
220	159	563
221	160	562
222	161	561
223	161	560
224	162	559
225	163	558
226	163	558
227	164	556
228	164	555
229	165	554
230	166	553
231	166	552
232	167	551
233	168	550
234	168	549
235	169	548
236	170	547
237	171	547
238	171	546
239	172	546
240	172	544
241	173	543
242	174	543
243	175	542
244	175	541
245	176	540
246	177	539
247	177	539
248	178	538
249	179	537
250	179	536
251	180	535
252	181	535
253	181	534
254	182	533
255	183	532
256	183	531
257	184	531
258	185	530
259	185	529
260	186	528
261	187	527
262	188	527
263	188	526
264	189	525
265	190	524
266	190	523
267	191	523
268	192	522
269	192	521
270	193	520
271	194	519
272	194	519
273	195	518
274	196	517
275	196	516
276	197	515
277	198	514
278	198	514
279	199	513
280	200	512
281	200	511
282	201	510
283	202	509
284	202	508
285	203	508
286	204	507
287	204	506
288	205	505
289	206	505
290	207	504
291	207	503
292	208	502
293	209	502
294	209	501
295	210	500
296	211	499
297	211	499
298	212	498
299	213	497
300	213	496
301	214	496
302	215	495
303	215	494
304	216	493
305	217	492
306	217	491
307	218	491
308	219	490
309	219	489
310	220	488
311	221	487
312	222	487
313	222	486
314	223	485
315	224	485
316	224	484
317	225	484
318	226	483
319	227	482
320	227	482
321	228	481
322	229	480
323	230	479
324	230	479
325	231	479
326	232	478
327	233	477
328	233	477
329	234	476
330	235	476
331	236	476
332	237	475
333	238	474
334	238	473
335	239	473
336	240	472
337	240	471
338	241	471
339	242	470
340	243	469
341	243	468
342	244	468
343	245	467
344	245	466
345	246	466
346	247	466
347	248	465
348	249	464
349	249	464
350	250	463
351	251	463
352	252	462
353	253	462
354	253	461
355	254	460
356	255	460
357	256	459
358	256	458
359	257	457
360	258	457
361	259	456
362	259	455
363	260	455
364	261	454
365	262	453
366	262	453
367	263	452
368	264	451
369	265	451
370	265	450
371	266	449
372	267	448
373	267	448
374	268	447
375	269	446
376	269	445
377	270	445
378	271	444
379	271	443
380	272	442
381	273	442
382	274	441
383	274	441
384	275	440
385	276	439
386	277	438
387	277	437
388	278	437
389	279	436
390	279	435
391	280	435
392	281	434
393	281	433
394	282	432
395	283	432
396	284	431
397	284	430
398	285	429
399	286	429
400	286	428
401	287	427
402	288	426
403	288	425
404	289	425
405	290	424
406	290	423
407	291	422
408	292	422
409	292	421
410	293	420
411	294	419
412	294	418
413	295	417
414	295	416
415	296	416
416	297	415
417	297	414
418	298	413
419	299	413
420	300	412
421	300	412
422	301	411
423	302	410
424	302	409
425	303	409
426	304	408
427	305	407
428	305	407
429	306	406
430	307	405
431	307	404
432	308	404
433	309	403
434	310	402
435	310	402
436	311	401
437	312	400
438	312	399
439	313	399
440	314	398
441	315	397
442	315	397
443	316	396
444	317	395
445	318	395
446	318	394
447	319	393
448	320	393
449	320	392
450	321	391
451	322	390
452	323	390
453	323	389
454	324	388
455	325	388
456	326	387
457	326	386
458	327	386
459	328	385
460	329	384
461	329	383
462	330	383
463	331	382
464	331	381
465	332	381
466	333	380
467	334	379
468	334	379
469	335	378
470	336	378
471	337	377
472	338	376
473	338	375
474	339	375
475	340	374
476	340	373
477	341	372
478	342	372
479	342	371
480	343	370
481	344	369
482	344	369
483	345	368
484	346	367
485	346	366
486	347	366
487	348	365
488	348	364
489	349	363
490	350	363
491	350	362
492	351	361
493	352	360
494	353	360
495	353	359
496	354	358
497	355	357
498	355	357
499	356	356
500	357	355
501	357	354
502	358	354
503	359	353
504	359	352
505	360	352
506	361	351
507	361	350
508	362	349
509	363	349
510	364	348
511	364	347
512	365	347
513	366	346
514	367	345
515	367	344
516	368	344
517	369	343
518	369	342
519	370	341
520	371	341
521	371	340
522	372	339
523	373	338
524	373	338
525	374	337
526	375	336
527	375	335
528	376	335
529	377	334
530	377	333
531	378	333
532	379	332
533	380	331
534	380	330
535	381	330
536	382	329
537	382	328
538	383	327
539	384	327
540	384	326
541	385	325
542	386	324
543	386	324
544	387	323
545	388	322
546	388	322
547	389	321
548	390	320
549	390	319
550	391	319
551	392	318
552	392	317
553	393	316
554	394	316
555	395	315
556	395	314
557	396	314
558	397	313
559	397	312
560	398	311
561	399	311
562	399	310
563	400	309
564	401	308
565	401	308
566	402	307
567	403	307
568	404	306
569	405	305
570	406	305
571	407	304
572	407	304
573	408	303
574	409	302
575	410	302
576	411	301
577	411	300
578	412	300
579	413	299
580	414	298
581	415	298
582	416	297
583	417	297
584	418	296
585	419	296
586	419	295
587	420	294
588	421	294
589	422	293
590	423	292
591	423	292
592	424	291
593	425	290
594	426	290
595	427	289
596	428	289
597	428	288
598	429	287
599	430	287
600	431	286
601	432	285
602	432	285
603	433	284
604	434	283
605	435	282
606	435	282
607	436	281
608	437	280
609	438	280
610	438	279
611	439	278
612	440	277
613	441	277
614	441	276
615	442	275
616	443	275
617	443	274
618	444	273
619	445	272
620	446	272
621	446	271
622	447	270
623	448	270
624	449	269
625	449	268
626	450	267
627	451	267
628	451	266
629	452	265
630	453	265
631	453	264
632	454	263
633	455	262
634	456	262
635	456	261
636	457	260
637	458	260
638	459	259
639	459	258
640	460	257
641	461	257
642	461	256
643	462	255
644	463	254
645	463	254
646	464	253
647	465	252
648	465	252
649	466	251
